,Name,link,concat_link
0,"
                                            www.495chryslerjeepdodge.net ",#/container/accounts/4617233109/containers/10707548,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617233109/containers/10707548
1,"
                                            www.5cornersdodgechryslerjeep.net ",#/container/accounts/4601284484/containers/10675562,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4601284484/containers/10675562
2," www.absherarnoldmotors.com
                                        ",#/container/accounts/4602124234/containers/10676878,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4602124234/containers/10676878
3, www.acadianadodge.com ,#/container/accounts/4610894784/containers/10691894,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610894784/containers/10691894
4,"
                                            www.acraautomotivegroup.net ",#/container/accounts/4580407999/containers/10636329,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4580407999/containers/10636329
5,"
                                            www.actionautochryslerdodgejeep.com ",#/container/accounts/4591702843/containers/10658433,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4591702843/containers/10658433
6,"
                                            www.adadodgechryslerjeepram.com ",#/container/accounts/4614124873/containers/10701767,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4614124873/containers/10701767
7,"
                                            www.adamsjeepofmaryland.com ",#/container/accounts/4619989436/containers/10715847,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4619989436/containers/10715847
8," www.addysharbordodge.net
                                        ",#/container/accounts/4606689704/containers/10685833,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606689704/containers/10685833
9, www.advantagecdjr.com ,#/container/accounts/4606957862/containers/10684708,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606957862/containers/10684708
10," www.advantagedodge.com
                                        ",#/container/accounts/4610830496/containers/10691819,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610830496/containers/10691819
11, www.akinsjeepram.com ,#/container/accounts/4607345059/containers/10686845,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4607345059/containers/10686845
12, www.aldeeby.com ,#/container/accounts/4575580521/containers/10627472,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4575580521/containers/10627472
13,"
                                            www.alsmithchryslerdodge.net ",#/container/accounts/4586439052/containers/10647697,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4586439052/containers/10647697
14," www.alanvinesdodge.com
                                        ",#/container/accounts/4617193258/containers/10707156,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617193258/containers/10707156
15,"
                                            www.fiatusaofburlingame.com ",#/container/accounts/4623003811/containers/10720391,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4623003811/containers/10720391
16, www.fiatusafresno.com ,#/container/accounts/4620619071/containers/10716365,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620619071/containers/10716365
17," www.fiatusaofmelbourne.com
                                        ",#/container/accounts/4607135982/containers/10685898,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4607135982/containers/10685898
18,"
                                            www.alfaromeousaofpuentehills.com ",#/container/accounts/4606211178/containers/10683543,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606211178/containers/10683543
19, www.fiatofsd.com ,#/container/accounts/4623024885/containers/10721180,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4623024885/containers/10721180
20," www.fiatofthewindycity.com
                                        ",#/container/accounts/4601536778/containers/10674481,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4601536778/containers/10674481
21,"
                                            www.fiatofcorpuschristitx.com ",#/container/accounts/4610994481/containers/10693215,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610994481/containers/10693215
22, www.fiatofedmond.com ,#/container/accounts/4610973470/containers/10693604,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610973470/containers/10693604
23," www.fiatusaofmanhattan.com
                                        ",#/container/accounts/4617507033/containers/10709877,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617507033/containers/10709877
24,"
                                            www.fiatalfaromeousaofmckinney.com ",#/container/accounts/4610999492/containers/10692778,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610999492/containers/10692778
25," www.fiatusaofwestbury.com
                                        ",#/container/accounts/4617483814/containers/10710705,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617483814/containers/10710705
26,"
                                            www.alfaromeousaoflouisville.net ",#/container/accounts/4590518825/containers/10655168,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4590518825/containers/10655168
27,"
                                            www.alfaromeousanashville.com ",#/container/accounts/4609999089/containers/10691294,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4609999089/containers/10691294
28,"
                                            www.alfaromeoofanaheimhills.com ",#/container/accounts/4606130175/containers/10684313,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606130175/containers/10684313
29,"
                                            www.herbchambersalfaromeoofboston.com ",#/container/accounts/4617610019/containers/10710254,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617610019/containers/10710254
30,"
                                            www.alfaromeocentralflorida.com ",#/container/accounts/4610007720/containers/10691164,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610007720/containers/10691164
31,"
                                            www.alfaromeocharleston.com ",#/container/accounts/4610064820/containers/10691765,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610064820/containers/10691765
32,"
                                            www.alfaromeocincinnati.com ",#/container/accounts/4590531603/containers/10655170,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4590531603/containers/10655170
33,"
                                            www.alfaromeousaofglenbrook.com ",#/container/accounts/4590503082/containers/10656495,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4590503082/containers/10656495
34,"
                                            www.alfaromeousaofmarin.com ",#/container/accounts/4606091955/containers/10684307,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606091955/containers/10684307
35,"
                                            www.alfaromeousaofstlouispark.com ",#/container/accounts/4591788504/containers/10659048,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4591788504/containers/10659048
36,"
                                            www.alfaromeoofmontereyusa.com ",#/container/accounts/4605755931/containers/10683496,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4605755931/containers/10683496
37,"
                                            www.alfaromeousaofmorriscounty.com ",#/container/accounts/4617640350/containers/10709895,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617640350/containers/10709895
38,"
                                            www.alfaromeoneworleans.com ",#/container/accounts/4611977689/containers/10694229,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4611977689/containers/10694229
39," www.alfaromeoomaha.com
                                        ",#/container/accounts/4596544494/containers/10667237,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4596544494/containers/10667237
40," www.alfaromeoraleigh.com
                                        ",#/container/accounts/4610020430/containers/10690929,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610020430/containers/10690929
41,"
                                            www.alfaromeousaofrochester.com ",#/container/accounts/4617541269/containers/10709454,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617541269/containers/10709454
42,"
                                            www.alfaromeoofsanantonio.com ",#/container/accounts/4611976155/containers/10695945,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4611976155/containers/10695945
43,"
                                            www.alfaromeousaofsantamonica.com ",#/container/accounts/4701982158/containers/11941171,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4701982158/containers/11941171
44,"
                                            www.alfaromeousaofpinellaspark.com ",#/container/accounts/4609971431/containers/10690313,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4609971431/containers/10690313
45,"
                                            www.alfaromeousaofsterlingva.com ",#/container/accounts/4620232402/containers/10716332,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620232402/containers/10716332
46,"
                                            www.alfaromeoofwhiteplains.com ",#/container/accounts/4617662754/containers/10710580,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617662754/containers/10710580
47,"
                                            www.alfaromeousaofwilmingtonpike.com ",#/container/accounts/4620251424/containers/10716177,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620251424/containers/10716177
48,"
                                            www.alfaromeousaofnaperville.com ",#/container/accounts/4601410889/containers/10674959,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4601410889/containers/10674959
49,"
                                            www.allamericanchryslerodessa.com ",#/container/accounts/4611969250/containers/10695943,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4611969250/containers/10695943
50, www.314allstar.com ,#/container/accounts/4601615534/containers/10676593,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4601615534/containers/10676593
51," www.allstardodgetexas.com
                                        ",#/container/accounts/4610482278/containers/10692567,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610482278/containers/10692567
52," www.allensamuelsap.com
                                        ",#/container/accounts/4617107150/containers/10709503,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4617107150/containers/10709503
53,"
                                            www.allensamuelsdodgechryslerjeep.com ",#/container/accounts/4610638557/containers/10691875,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610638557/containers/10691875
54, www.atascosacdj.com ,#/container/accounts/4611958715/containers/10695938,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4611958715/containers/10695938
55,"
                                            www.almachryslerjeepdodgeram.com ",#/container/accounts/4569407539/containers/10614582,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4569407539/containers/10614582
56,"
                                            www.ancirachryslerdodgejeepram.com ",#/container/accounts/4614100553/containers/10701630,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4614100553/containers/10701630
57, www.andymohrkia.com ,#/container/accounts/3055071301/containers/8926805,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/3055071301/containers/8926805
58, www.anthonyauto.com ,#/container/accounts/4620051921/containers/10715696,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620051921/containers/10715696
59,"
                                            www.antiochchryslerdodgejeep.net ",#/container/accounts/4602242730/containers/10677423,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4602242730/containers/10677423
60,"
                                            www.antiochchryslerjeepdodge.com ",#/container/accounts/4606769023/containers/10661264,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606769023/containers/10661264
61, www.antwerpencj.com ,#/container/accounts/4620166907/containers/10715784,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620166907/containers/10715784
62, www.appleautos.com ,#/container/accounts/4491775939/containers/10467908,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4491775939/containers/10467908
63," www.applecdjrofhanover.com
                                        ",#/container/accounts/4620207558/containers/10715928,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4620207558/containers/10715928
64,"
                                            www.arcadiamotorschryslerdodgejeep.com ",#/container/accounts/4605506573/containers/10681311,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4605506573/containers/10681311
65, www.arizonadodge.com ,#/container/accounts/4610207840/containers/10692088,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4610207840/containers/10692088
66," www.armbrustermotor.com
                                        ",#/container/accounts/4596844253/containers/10666649,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4596844253/containers/10666649
67,"
                                            www.fiatusaofdaytonabeach.com ",#/container/accounts/4606973699/containers/10660126,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606973699/containers/10660126
68," www.arrigopalmbeach.com
                                        ",#/container/accounts/4607025925/containers/10685489,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4607025925/containers/10685489
69," www.arrigoftpierce.com
                                        ",#/container/accounts/4606940825/containers/10685161,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606940825/containers/10685161
70, www.arrigomargate.com ,#/container/accounts/4606161237/containers/10684218,https://tagmanager.google.com/?authuser=dealerteamworkllc@gmail.com#/container/accounts/4606161237/containers/10684218
